#CHR	POS	Count_A	Count_C	Count_G	Count_T	Good_depth
1	3515055	0	0	191	0	191
1	3518614	0	124	0	0	124
1	3560388	0	211	0	0	211
1	3568510	0	0	253	0	253
1	3575021	0	0	143	0	143
1	3640084	0	209	0	0	209
1	3946152	0	0	160	0	160
1	3966424	0	217	0	0	217
1	4778289	0	141	0	0	141
1	4969311	0	0	205	0	205
1	5299426	0	110	0	0	110
1	5515230	152	0	0	0	152
1	5661907	0	213	0	0	213
1	6665079	0	0	274	0	274
1	7395648	0	190	0	0	190
1	8205115	1	180	0	0	181
1	8686824	194	0	0	0	194
1	9058201	0	0	89	0	89
1	9662185	0	0	0	221	221
1	10007248	0	174	0	0	174
1	10110572	0	0	0	112	112
1	10535709	0	167	0	0	167
1	10535710	164	0	0	0	164
1	10555504	0	0	0	214	214
1	11139356	0	0	178	0	178
1	11194055	110	0	0	0	110
1	11872622	162	0	0	0	162
1	12360111	0	186	0	0	186
1	12478355	0	0	0	129	129
1	12807753	0	0	0	231	231
1	12908667	0	0	200	0	200
1	13161614	0	0	185	0	185
1	13469563	0	142	0	0	142
1	14280393	213	0	0	0	213
1	14883860	0	165	0	2	167
1	15061776	0	0	216	0	216
1	15130747	0	0	0	131	131
1	15130748	0	0	130	0	130
1	15316610	0	0	148	0	148
1	15349949	0	0	165	0	165
1	15776816	0	0	151	0	151
1	15899144	0	0	148	0	148
1	15972637	0	0	184	0	184
1	16651495	0	130	0	0	130
1	16954004	0	173	0	0	173
1	16983386	0	0	209	0	209
1	17177100	0	0	0	173	173
1	17418655	0	141	0	0	141
1	18375657	0	215	0	0	215
1	18391077	0	0	147	0	147
1	18964238	0	0	214	0	214
1	19046798	0	222	0	0	222
1	19687172	0	0	0	138	138
1	19751753	127	0	0	0	127
1	20029726	0	0	0	182	182
1	20048263	99	0	0	0	99
1	20058815	0	0	147	0	147
1	20409228	0	0	219	0	219
1	20574523	0	143	0	0	143
1	20767168	0	229	0	1	230
1	20842834	1	200	0	0	201
1	21133392	0	0	95	0	95
1	21211952	0	0	148	0	148
1	21352330	165	0	0	0	165
1	21551226	0	0	0	102	102
1	21551228	0	0	0	112	112
1	22413719	0	156	0	0	156
1	22944573	0	0	103	0	103
1	22972937	0	0	143	0	143
1	23531402	0	0	188	0	188
1	24029141	0	0	131	0	131
1	24271746	0	0	156	0	156
1	24458280	0	189	0	0	189
1	24794192	0	184	0	0	184
