#CHR	POS	Count_A	Count_C	Count_G	Count_T	Good_depth
1	3515055	0	0	119	0	119
1	3518614	0	67	0	0	67
1	3560388	0	123	0	0	123
1	3568510	0	0	127	0	127
1	3575021	0	0	86	0	86
1	3640084	0	100	0	0	100
1	3946152	0	0	94	0	94
1	3966424	0	120	0	0	120
1	4778289	0	75	0	0	75
1	4969311	0	0	93	0	93
1	5299426	0	65	0	0	65
1	5515230	95	0	0	0	95
1	5661907	0	144	0	0	144
1	6665079	0	0	118	0	118
1	7395648	0	112	0	0	112
1	8205115	0	96	0	0	96
1	8686824	94	0	0	0	94
1	9058201	0	0	48	0	48
1	9662185	0	0	0	108	108
1	10007248	0	114	0	0	114
1	10110572	0	0	0	60	60
1	10535709	0	69	0	0	69
1	10535710	70	0	0	0	70
1	10555504	0	0	0	119	119
1	11139356	0	0	120	0	120
1	11194055	65	0	0	0	65
1	11872622	69	0	0	0	69
1	12360111	0	95	0	0	95
1	12478355	0	0	0	69	69
1	12807753	0	0	0	121	121
1	12908667	0	0	93	0	93
1	13161614	0	0	117	0	117
1	13469563	0	81	0	0	81
1	14280393	115	0	0	0	115
1	14883860	0	123	0	0	123
1	15061776	0	0	135	0	135
1	15130747	0	0	0	78	78
1	15130748	0	0	77	0	77
1	15316610	0	0	90	0	90
1	15349949	0	0	89	0	89
1	15776816	0	0	73	0	73
1	15899144	0	0	103	0	103
1	15972637	0	0	89	0	89
1	16651495	0	65	0	0	65
1	16954004	0	97	0	0	97
1	16983386	0	0	106	0	106
1	17177100	0	0	0	79	79
1	17418655	0	70	0	0	70
1	18375657	0	100	0	0	100
1	18391077	0	0	83	0	83
1	18964238	0	0	123	0	123
1	19046798	0	143	0	0	143
1	19687172	0	0	0	84	84
1	19751753	64	0	0	0	64
1	20029726	0	0	0	102	102
1	20048263	61	0	0	0	61
1	20058815	0	0	81	0	81
1	20409228	0	0	107	0	107
1	20574523	0	58	0	0	58
1	20767168	0	131	0	0	131
1	20842834	0	92	0	0	92
1	21133392	0	0	62	0	62
1	21211952	0	0	97	0	97
1	21352330	91	0	0	0	91
1	21551226	0	0	0	71	71
1	21551228	0	0	0	73	73
1	22413719	0	83	0	0	83
1	22944573	0	0	57	0	57
1	22972937	0	0	80	0	80
1	23531402	0	0	115	0	115
1	24029141	0	0	71	0	71
1	24271746	0	0	87	0	87
1	24458280	0	106	0	0	106
1	24794192	0	98	0	0	98
1	25079777	0	0	81	0	81
1	25208127	0	0	104	0	104
1	25236966	0	0	80	0	80
1	25262725	0	0	0	51	51
1	25299495	0	0	110	0	110
1	25323110	0	82	0	0	82
1	25402276	0	0	84	0	84
1	25551871	0	0	72	0	72
1	25660902	76	0	0	0	76
1	25723031	0	0	132	0	132
1	26025684	0	0	84	0	84
1	26060601	0	79	0	0	79
1	26146961	0	0	0	80	80
1	26194022	92	10	0	0	102
1	26637444	102	0	0	0	102
1	26850580	0	110	0	0	110
1	26889980	0	0	74	0	74
1	26964493	0	0	85	0	85
1	27292318	84	0	0	0	84
1	27353954	0	91	0	0	91
1	27511058	0	80	0	0	80
1	27526343	0	83	0	0	83
1	27716602	0	0	0	64	64
1	27874447	0	0	64	0	64
1	28133414	1	0	64	0	65
1	28329393	0	0	92	0	92
1	28576932	74	0	0	0	74
1	28688133	0	81	0	0	81
1	28738682	0	0	0	85	85
1	28804414	0	0	74	0	74
1	28851564	0	0	99	0	99
1	28937485	106	0	0	0	106
1	28962223	0	124	0	0	124
1	29035150	0	0	135	0	135
1	29067531	0	82	0	0	82
1	29082475	0	0	101	0	101
1	29174938	0	0	87	0	87
1	29602305	0	72	0	0	72
1	29639525	0	0	78	0	78
1	29701110	0	0	2	94	96
1	29797138	0	129	0	0	129
1	30005683	0	0	89	0	89
1	30064725	0	93	0	0	93
1	30140502	72	0	0	0	72
1	30369799	110	0	0	0	110
1	30403906	0	92	0	0	92
1	30447473	0	116	0	0	116
1	30460769	0	107	0	0	107
1	30493429	0	0	65	0	65
1	30495802	113	0	0	0	113
